Date,Week,CrudePrice,GasStock,DaySupply,GasImports,RefinerPerc,OilExports,OilImports,Scored Labels
9/4/2015 12:00:00 AM,36,46.7300003051758,27556,23,589,90.9,477,7459,2.23833847045898
9/11/2015 12:00:00 AM,37,45.3339996337891,26772,23.7,722,93.1,477,7189,2.44858956336975
9/18/2015 12:00:00 AM,38,45.4819999694824,26714,23.9,504,90.9,477,7176,2.41011214256287
9/25/2015 12:00:00 AM,39,45.5719985961914,28260,24.5,990,89.8,526,7554,2.23340940475464
10/2/2015 12:00:00 AM,40,44.9980010986328,27648,24.8,543,87.5,526,7068,2.24153828620911
10/9/2015 12:00:00 AM,41,48.3599990844727,27919,24.4,719,86,526,7315,2.35970711708069
10/16/2015 12:00:00 AM,42,46.8200004577637,28205,24.2,709,86.4,526,7471,2.21894526481628
10/23/2015 12:00:00 AM,43,45.1560005187988,28011,23.9,722,87.6,504,7032,2.25458788871765
10/30/2015 12:00:00 AM,44,44.9899993896484,27467,23.4,307,88.7,504,6943,2.31724238395691
11/6/2015 12:00:00 AM,45,45.9819999694824,27228,23,353,89.5,504,7377,2.35920810699463
11/13/2015 12:00:00 AM,46,42.6959999084473,28233,23.2,389,90.3,504,6968,2.24822425842285
11/20/2015 12:00:00 AM,47,40.6199996948242,28842,23.7,459,92,445,7333,2.25527906417847
11/27/2015 12:00:00 AM,48,40.6340003967285,27878,23.7,433,94.5,445,7747,2.27492761611938
12/4/2015 12:00:00 AM,49,40.4040008544922,26871,23.7,648,93.1,445,8021,2.41133642196655
12/11/2015 12:00:00 AM,50,36.9339996337891,28165,23.8,660,91.9,445,8312,2.16170263290405
12/18/2015 12:00:00 AM,51,35.7760002136231,26119,23.8,334,91.3,500,7326,2.04457831382751
12/25/2015 12:00:00 AM,52,36.5299987792969,27161,23.8,487,92.6,500,7892,1.93999695777893
1/1/2016 12:00:00 AM,53,37.1300010681152,28809,25.8,602,92.5,500,7510,2.16903185844421
1/8/2016 12:00:00 AM,1,34.6480010986328,27794,27.3,446,91.2,500,8188,1.74620878696442
1/15/2016 12:00:00 AM,2,30.5860000610352,27508,27.9,512,90.6,500,7779,1.65344941616058
1/22/2016 12:00:00 AM,3,29.1924996376038,27696,28.7,576,87.4,399,7609,1.60065972805023
1/29/2016 12:00:00 AM,4,31.8079998016357,27463,29.2,624,86.6,399,8256,1.69184839725494
2/5/2016 12:00:00 AM,5,31.2600002288818,27446,28.8,683,86.1,399,7124,1.68336236476898
2/12/2016 12:00:00 AM,6,28.1439998626709,27878,29.1,565,88.3,399,7919,1.64777588844299
2/19/2016 12:00:00 AM,7,30.022500038147,28182,28.3,566,87.3,399,7802,1.68599760532379
2/26/2016 12:00:00 AM,8,31.3220001220703,27618,27.6,454,88.3,387,8292,1.76323997974396
3/4/2016 12:00:00 AM,9,34.4340003967285,26365,26.9,565,89.1,387,8048,1.81659078598022
3/11/2016 12:00:00 AM,10,37.6939994812012,27652,26.6,716,89,387,7693,2.08891272544861
3/18/2016 12:00:00 AM,11,38.3180000305176,27011,26.1,415,88.4,387,8384,2.21974921226501
3/24/2016 12:00:00 AM,12,39.4449996948242,26139,25.8,516,90.4,387,7748,2.28956079483032
4/1/2016 12:00:00 AM,13,36.8220001220703,26873,26.1,671,91.4,339,7254,2.1257312297821
4/8/2016 12:00:00 AM,14,36.7200004577637,24415,25.5,570,89.2,339,7940,2.23521733283997
4/15/2016 12:00:00 AM,15,41.226000213623,24825,25.5,791,89.4,339,8187,2.34474968910217
4/22/2016 12:00:00 AM,16,41.8560005187988,24412,25.7,898,88.1,390,7550,2.37587285041809
4/29/2016 12:00:00 AM,17,44.2979995727539,24876,25.5,946,89.7,390,7660,2.31307339668274
5/6/2016 12:00:00 AM,18,44.2160011291504,24985,25.4,779,89.1,390,7655,2.35567951202393
5/13/2016 12:00:00 AM,19,45.4400001525879,24305,24.9,691,90.5,390,7677,2.34720659255981
5/20/2016 12:00:00 AM,20,47.9919998168945,24339,25,933,89.7,390,7315,2.40712857246399
